date,cvar_historical,mv_historical,cvar_mbb,mv_mbb,ew
2024-02-23,"[0.34999999997846365, 0.30000000007255145, 1.0099295271701676e-11, 4.064763094678968e-11, 0.34999999989823816]","[0.34999962710355353, 0.3000005124009541, 5.719251855460262e-07, 2.3022697759470512e-07, 0.34999905834332934]","[0.3499999999979862, 0.2999999999793428, 3.060191175063278e-12, 2.4617492073889496e-11, 0.3499999999949936]","[0.3499997311443808, 0.2999994255165066, 8.77334169814258e-07, 1.7159780130102346e-07, 0.3499997944071416]",[0.2 0.2 0.2 0.2 0.2]
2024-03-01,"[0.3499999999948488, 0.3000000000274027, 4.731374115042085e-12, 2.3249681774043012e-11, 0.3499999999497678]","[0.3499990523598273, 0.29999828531820527, 1.4178877731830633e-06, 2.413054802242337e-06, 0.34999883137939203]","[0.3499999999984847, 0.3000000000041578, 1.432130136432698e-12, 1.2884812230612553e-12, 0.349999999994637]","[0.3499995205686021, 0.29999984463473506, 8.121347836610103e-07, 2.064733324741826e-07, 0.34999961618854697]",[0.2 0.2 0.2 0.2 0.2]
2024-03-08,"[0.34999999999936404, 0.30000000000209753, 5.611046476226603e-13, 3.3907075189777568e-12, 0.3499999999945866]","[0.34999973581710964, 0.2999999248056064, 3.602700373123333e-07, 9.869863178441733e-08, 0.34999988040861507]","[0.34999999999953146, 0.3499999999438285, 2.736090040146528e-13, 1.8936906808962106e-12, 0.3000000000544727]","[0.349996582187104, 0.34987985525023174, 5.283205040804243e-05, 3.2838935353996708e-06, 0.3000674466187208]",[0.2 0.2 0.2 0.2 0.2]
2024-03-15,"[0.3499999999994881, 0.1106383840258908, 5.717420188441496e-13, 0.18936161597440732, 0.34999999999964204]","[0.22091430758583633, 0.34988098312883653, 5.804970365425868e-07, 0.0792044841537185, 0.3499996446345721]","[0.3499999999964531, 0.06202236356330099, 1.6465134791694142e-12, 0.2379776364431249, 0.3499999999954744]","[0.21178116554593734, 0.34999972928030726, 6.820724691803742e-09, 0.08821911696967207, 0.34999998138335875]",[0.2 0.2 0.2 0.2 0.2]
2024-03-22,"[0.34999999997483455, 0.13472476978590414, 1.0235146373281605e-11, 0.16527523025309251, 0.34999999997593373]","[0.23867851143985322, 0.3499909221684975, 2.770694507037619e-07, 0.06133054217576716, 0.34999974714643556]","[0.34999999995507486, 0.30000000013695177, 6.732370276383433e-12, 3.708571825827919e-11, 0.34999999986415553]","[0.34999875875089803, 0.29999798927927346, 2.14594621041536e-06, 2.249887459445873e-06, 0.34999885613615894]",[0.2 0.2 0.2 0.2 0.2]
2024-03-29,"[0.349999999999096, 0.06202236356846898, 7.677821379680939e-13, 0.23797763643317307, 0.3499999999984943]","[0.2042379229348548, 0.3499614301949884, 6.440003895347884e-08, 0.09580108142382597, 0.3499995010462919]","[0.3499999999857442, 0.11328909936707883, 1.0940713965303607e-11, 0.18671090067054136, 0.34999999996569514]","[0.25313226851240694, 0.3499990270949385, 2.286101933754099e-08, 0.046868700435820226, 0.349999981095815]",[0.2 0.2 0.2 0.2 0.2]
2024-04-05,"[0.34999999999889175, 0.1675778548973568, 6.907665293084356e-13, 0.13242214510695896, 0.34999999999610176]","[0.2606571517926059, 0.34999024753785574, 3.8310978201688083e-07, 0.03935256085167372, 0.3499996567080826]","[0.3499999999969141, 0.2999999999537313, 1.1398085220294574e-12, 5.6186290963529607e-11, 0.34999999999202847]","[0.34999366227722845, 0.2999921696950047, 9.048488817784256e-06, 6.723937009147563e-06, 0.34999839560194007]",[0.2 0.2 0.2 0.2 0.2]
2024-04-12,"[0.3499999999995166, 0.3000000000030625, 2.775143164952094e-13, 1.1930138609001218e-12, 0.34999999999595055]","[0.34999991181997014, 0.2999999304431017, 1.2947721423006852e-07, 5.287465886115479e-08, 0.3499999753850553]","[0.34999999999119635, 0.29999999996856497, 4.862376039914887e-12, 7.265814785396275e-11, 0.3499999999627184]","[0.3499998769190277, 0.2999998372408348, 2.4040452406211087e-07, 5.922126039184936e-08, 0.3499999862143532]",[0.2 0.2 0.2 0.2 0.2]
2024-04-19,"[0.3499999999749412, 0.11328908225339201, 4.2369795449655183e-11, 0.18671091776418852, 0.3499999999651086]","[0.2253264216284029, 0.3499705290483387, 8.905405206053116e-08, 0.07470328780649521, 0.3499996724627111]","[0.3499999999957104, 0.29999999999110427, 1.4753865383292918e-12, 1.5961287665078482e-11, 0.3499999999957487]","[0.3499996425143212, 0.2999997944583821, 6.56927782542772e-07, 1.5743824949619618e-07, 0.34999974866126465]",[0.2 0.2 0.2 0.2 0.2]
2024-04-26,"[0.3499999999214948, 0.3000000001142526, 7.400123077035841e-12, 2.386438382438244e-11, 0.34999999993298825]","[0.34999824289111797, 0.30000455843009594, 3.972400773318188e-07, 2.634984840384973e-07, 0.3499965379402247]","[0.34999999999965226, 0.3000000000989155, 1.823177164621885e-13, 6.31856595351642e-13, 0.3499999999006185]","[0.34999856517017014, 0.30000062236573244, 1.0872824699007037e-06, 5.40785714478958e-07, 0.3499991843959132]",[0.2 0.2 0.2 0.2 0.2]
